Timp(secunde),Nivel_dB
0.00,-31.27
0.10,-29.88
0.20,-29.00
0.30,-28.15
0.40,-27.19
0.50,-26.71
0.60,-26.78
0.70,-26.02
0.80,-25.04
0.90,-24.56
1.00,-25.00
1.10,-23.54
1.20,-24.29
1.30,-23.97
1.40,-24.81
1.50,-25.51
1.60,-25.15
1.70,-26.58
1.80,-27.04
1.90,-27.55
2.00,-28.54
2.10,-28.24
2.20,-26.26
2.30,-25.90
2.40,-27.05
2.50,-22.82
2.60,-23.77
2.70,-21.64
2.80,-19.05
2.90,-19.14
3.00,-18.86
3.10,-24.38
3.20,-34.38
3.30,-32.69
3.40,-19.03
3.50,-19.38
3.60,-20.91
3.70,-20.53
3.80,-20.02
3.90,-22.48
4.00,-22.11
4.10,-25.10
4.20,-20.15
4.30,-23.55
4.40,-22.76
4.50,-20.52
4.60,-21.37
4.70,-18.94
4.80,-26.29
4.90,-23.36
5.00,-19.57
5.10,-20.26
5.20,-25.00
5.30,-35.14
5.40,-31.39
5.50,-27.60
5.60,-18.22
5.70,-18.65
5.80,-19.41
5.90,-70.25
6.00,-41.40
6.10,-35.08
6.20,-30.62
6.30,-28.49
6.40,-28.52
6.50,-29.68
6.60,-27.93
6.70,-27.03
6.80,-27.12
6.90,-28.12
7.00,-26.27
7.10,-25.61
7.20,-24.99
7.30,-26.56
7.40,-27.52
7.50,-25.66
7.60,-24.80
7.70,-25.29
7.80,-26.14
7.90,-26.29
8.00,-26.39
8.10,-26.47
8.20,-27.12
8.30,-26.14
8.40,-26.17
8.50,-27.28
8.60,-25.64
8.70,-25.24
8.80,-26.31
8.90,-26.79
9.00,-26.38
9.10,-23.82
9.20,-25.09
9.30,-25.54
9.40,-23.82
9.50,-23.97
9.60,-23.51
9.70,-23.57
9.80,-23.63
9.90,-23.95
10.00,-23.62
10.10,-23.24
10.20,-24.13
10.30,-25.40
10.40,-23.77
10.50,-23.47
10.60,-23.38
10.70,-24.08
10.80,-25.51
10.90,-23.44
11.00,-23.68
11.10,-23.68
11.20,-24.05
11.30,-26.21
11.40,-25.15
11.50,-23.14
11.60,-24.45
11.70,-27.67
11.80,-27.40
11.90,-24.61
12.00,-23.05
12.10,-24.67
12.20,-26.64
12.30,-26.43
12.40,-26.71
12.50,-26.21
12.60,-26.03
12.70,-27.68
12.80,-25.84
12.90,-27.27
13.00,-26.29
13.10,-26.69
13.20,-26.23
